"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903561","GO:1903561","extracellular vesicle","17/1549","79/15743",0.00150334519682096,0.0219816260892274,0.0197906677919206,"Aqp1/Slc2a4/Rab4a/Ace/Anxa1/Cubn/Sord/Prom1/Aoc1/Cd9/Aldoa/Tmem98/Xpnpep2/Icam1/Serpine1/Anpep/Gprc5a",17
"GO:0020005","GO:0020005","symbiont-containing vacuole membrane","5/1549","10/15743",0.00151168601352625,0.0219816260892274,0.0197906677919206,"Aqp1/Gbp3/Gbp2/Gbp2b/Iigp1",5
"GO:0043256","GO:0043256","laminin complex","5/1549","10/15743",0.00151168601352625,0.0219816260892274,0.0197906677919206,"Ntn4/Lama3/Lamc2/Lamb3/Lama1",5
"GO:0001533","GO:0001533","cornified envelope","7/1549","19/15743",0.00152985676078872,0.0219816260892274,0.0197906677919206,"Anxa1/Evpl/Kazn/Lce3b/Sprr2b/Sprr1a/Sprr2a3",7
"GO:0045178","GO:0045178","basal part of cell","14/1549","60/15743",0.00170235173185536,0.0238329242459751,0.0214574428819556,"Aqp1/Cav1/Ager/Itga2/Egfr/Ace/Slc23a1/Myo1a/Slco3a1/Slco2b1/Cldn4/Phldb1/Prcp/Ank3",14
"GO:0033646","GO:0033646","host intracellular part","7/1549","20/15743",0.00215562645510517,0.0287066352314005,0.0258453800907346,"Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1",7
"GO:0043656","GO:0043656","host intracellular region","7/1549","20/15743",0.00215562645510517,0.0287066352314005,0.0258453800907346,"Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1",7
"GO:0042175","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","69/1549","499/15743",0.00227789282366261,0.029612606707614,0.0266610513446226,"Pcyt1a/Elovl1/Pigyl/Canx/Ero1l/Dcstamp/Dgat1/Sacm1l/Jph3/Ptdss2/Bok/Soat1/Traf2/Dhrs9/Duoxa2/Sppl2a/Ptpn1/Gba2/Plpp3/Gpat3/Cds1/Slc37a3/Nat8/Itpr2/Dmpk/Ttyh1/Yif1b/Nomo1/Magt1/Abcd1/Erlin2/Slc37a4/Slc37a2/Tmem98/Reep6/Slc51a/H2-Q4/Tm6sf2/Gramd1c/March1/Ormdl3/Pgap3/Pln/March6/Gramd1b/Lman1/Zc3h12a/Sptssb/Slc35g1/Fmn1/Ch25h/Selenon/Mogat2/Iigp1/Cyp3a44/Ugt2b5/Rdh9/Slc27a4/H2-Q7/Slc9a6/Gdpd1/Ext1/Syne2/Rnf183/Rnf186/H2-Q6/Svip/Tgtp1/H2-Q1",69
"GO:0031527","GO:0031527","filopodium membrane","6/1549","16/15743",0.00301823053112984,0.0378725956187411,0.0340977485134993,"Itgav/Pdpn/Ttyh1/Msn/Fzd9/Syne2",6
"GO:0005789","GO:0005789","endoplasmic reticulum membrane","66/1549","479/15743",0.00305200404253591,0.0378725956187411,0.0340977485134993,"Pcyt1a/Elovl1/Pigyl/Canx/Ero1l/Dcstamp/Dgat1/Sacm1l/Jph3/Ptdss2/Bok/Soat1/Traf2/Dhrs9/Duoxa2/Sppl2a/Ptpn1/Gba2/Plpp3/Gpat3/Cds1/Slc37a3/Nat8/Itpr2/Dmpk/Ttyh1/Yif1b/Nomo1/Magt1/Abcd1/Erlin2/Slc37a4/Slc37a2/Tmem98/Reep6/Slc51a/H2-Q4/Tm6sf2/Gramd1c/March1/Ormdl3/Pgap3/Pln/March6/Gramd1b/Lman1/Zc3h12a/Sptssb/Slc35g1/Fmn1/Ch25h/Selenon/Iigp1/Cyp3a44/Rdh9/Slc27a4/H2-Q7/Slc9a6/Gdpd1/Ext1/Rnf183/Rnf186/H2-Q6/Svip/Tgtp1/H2-Q1",66
"GO:0020003","GO:0020003","symbiont-containing vacuole","5/1549","12/15743",0.00401611033929171,0.0487288054500727,0.0438718954023211,"Aqp1/Gbp3/Gbp2/Gbp2b/Iigp1",5
