"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","13/119","381/15991",5.18506823852419e-06,0.000675095884655849,0.000606198153360091,"Lck/Il12rb1/Tnfsf14/Tnfaip8l2/Zap70/Il2ra/Coro1a/Fgl1/Thy1/Ccr7/Cdkn2a/Lax1/Tigit",13
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","9/119","180/15991",7.93911517945158e-06,0.000969068246591809,0.000870168808484628,"Tnfaip8l2/Il2ra/Btk/Fgl1/Milr1/Cdkn2a/Lax1/Cnr2/Tigit",9
"GO:0050866","GO:0050866","negative regulation of cell activation","9/119","199/15991",1.77580565691195e-05,0.00204008732232297,0.00183188373028812,"Tnfaip8l2/Il2ra/Btk/Fgl1/Milr1/Cdkn2a/Lax1/Cnr2/Tigit",9
"GO:0050853","GO:0050853","B cell receptor signaling pathway","5/119","45/15991",2.0199950153939e-05,0.0021377536327828,0.00191958258669046,"Lck/Lpxn/Btk/Rftn1/Klhl6",5
"GO:0030595","GO:0030595","leukocyte chemotaxis","9/119","203/15991",2.0797398373207e-05,0.0021377536327828,0.00191958258669046,"Tnfsf14/Cxcl14/Sell/Bst1/Spp1/Coro1a/Ccr7/Cxcr3/Cnr2",9
"GO:0002250","GO:0002250","adaptive immune response","12/119","378/15991",2.49604093055272e-05,0.00243738396868473,0.00218863378436885,"Il12rb1/Ly9/Cd48/Fcgr1/Zap70/Sla2/Btk/Fgl1/Ccr7/Rftn1/Klhl6/Lax1",12
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","12/119","383/15991",2.83931447189022e-05,0.0026405624588579,0.0023710766467013,"Tnfsf14/Fcgr1/Cxcl14/Sell/Card9/Klrb1c/Btk/Ccr7/Scarf1/Ifi209/Cxcr4/Cxcr3",12
"GO:0050900","GO:0050900","leukocyte migration","11/119","324/15991",3.00125212917029e-05,0.00266429336739526,0.00239238566851565,"Tnfsf14/Cxcl14/Sell/Bst1/Spp1/Coro1a/Thy1/Ccr7/Cxcr3/Prtn3/Cnr2",11
"GO:0050852","GO:0050852","T cell receptor signaling pathway","7/119","121/15991",3.31767233645117e-05,0.00281713655351701,0.00252963025744972,"Lck/Zap70/Btk/Thy1/Ccr7/Rftn1/Bcl2a1d",7
"GO:0002866","GO:0002866","positive regulation of acute inflammatory response to antigenic stimulus","3/119","10/15991",4.64171557969253e-05,0.00368842175888474,0.00331199539186783,"Fcgr1/Btk/Ccr7",3
"GO:0060326","GO:0060326","cell chemotaxis","10/119","281/15991",4.72148202622215e-05,0.00368842175888474,0.00331199539186783,"Tnfsf14/Cxcl14/Sell/Bst1/Spp1/Coro1a/Ccr7/Cxcr4/Cxcr3/Cnr2",10
"GO:0002883","GO:0002883","regulation of hypersensitivity","3/119","11/15991",6.34770571662483e-05,0.0047681035632955,0.00428148895704331,"Fcgr1/Btk/Ccr7",3
"GO:0050870","GO:0050870","positive regulation of T cell activation","8/119","183/15991",6.71314527499246e-05,0.00485584174891121,0.00436027291545319,"Lck/Il12rb1/Tnfsf14/Zap70/Il2ra/Coro1a/Thy1/Ccr7",8
"GO:0002524","GO:0002524","hypersensitivity","3/119","12/15991",8.41766888485758e-05,0.00587132404718816,0.00527211893314764,"Fcgr1/Btk/Ccr7",3
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","9/119","248/15991",9.86049962348677e-05,0.00664053647057574,0.00596282844745153,"Lck/Il12rb1/Tnfsf14/Zap70/Il2ra/Bst1/Coro1a/Thy1/Ccr7",9
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","8/119","199/15991",0.000120459736313903,0.00784192883403508,0.00704161125259517,"Lck/Il12rb1/Tnfsf14/Zap70/Il2ra/Coro1a/Thy1/Ccr7",8
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation","7/119","150/15991",0.000129445285629684,0.00815505299467011,0.00732277914631763,"Tnfaip8l2/Il2ra/Btk/Fgl1/Cdkn2a/Lax1/Tigit",7
