Row,iCD_PC1,iCD_PC2,iCD_PC3,iCD_PC4,iCD_PC5,iCD_PC6,iCD_PC7,iCD_PC8,iCD_PC9,iCD_PC10,iCD_PC11,iCD_PC12,iCD_PC13,iCD_PC14,iCD_PC15,iCD_PC16
AGPAT2,0.036325023,0.012487474,-0.009896623,-0.002020303,0.006594425,0.00270859,-0.000178658,0.012850573,-0.017979294,0.004808921,-0.00688969,0.011782157,0.012479131,0.012731358,-0.010885141,0.003947955
AGPAT4,-0.027933315,0.016291589,-0.011422281,-0.005499799,-0.004978808,-0.024041535,-0.020209626,0.00335539,0.009976003,0.014051557,-0.005086706,0.02210763,-0.008872167,-0.008256685,0.013903592,0.018076103
AGPAT5,-0.013936545,-0.008743423,0.005861005,0.018394875,-0.043620323,0.001842689,-0.011201452,0.004958804,0.029772299,-0.003695559,-0.013586848,0.001954284,0.010553464,-0.016545354,0.029211211,0.001005949
AGPS,-0.016589646,0.004073525,-0.010181301,-0.005075496,-0.049781772,0.004834693,0.009935102,0.008419938,0.007005259,-0.010810923,0.031568851,-0.010266364,-0.017537893,-0.019722607,0.010807139,-0.020188105
AGR2,-0.015564206,0.00425919,-0.034437944,-0.011793179,0.024789661,0.00230446,0.02844383,-0.003461416,-0.01034704,0.002562633,-0.018828485,-0.00334805,-0.008859606,0.023973174,0.022166045,0.010801741
AGR3,-0.031162584,0.00721763,0.001447262,-0.026152314,0.022746708,-0.020126653,-0.007318523,0.015610701,0.00456766,-0.012898936,0.005741407,-0.00394656,-0.015679337,-0.00259343,0.0031169,-0.000780968
AGRN,-0.009072136,-0.01571401,-0.021987059,-0.033309932,0.014870396,-0.02000725,-0.010219895,-0.020765762,-0.012889094,-0.006206552,0.003553545,0.016060774,-0.02629959,-0.011088114,-0.018018938,-0.024960357
AGTR2,-0.013549053,-0.011736097,-0.009247374,-0.011726749,-0.002487594,0.003038142,-0.026767266,0.023312702,0.000239694,0.029806461,-0.027809971,0.012416081,-0.009614337,0.000455047,-0.01873294,0.043595195
AGXT2,0.005846296,0.023451535,0.001762559,-0.041371672,-0.006599181,0.003845917,-0.007218946,-0.025853921,-0.011879995,-0.001667087,-0.015900312,-0.002371264,-0.000491172,0.009738646,0.004725077,0.012686792
AHCYL1,0.019487483,-0.001674753,-0.029478085,0.001969236,0.039659813,0.008922391,-0.004460385,-0.007466808,-3.94E-05,0.007494522,-0.000289422,0.005467753,0.025519838,-0.00405847,-0.005206227,-0.002338184
AHRR,-0.020481533,0.025378386,-0.000599246,0.009819699,0.040177638,-0.02081788,0.017466701,-0.004537796,0.001779617,0.008728004,-0.007542854,0.00586395,0.013482868,0.00763257,-0.008204675,0.001806559
AICDA,0.002788206,-0.010845461,0.027404538,0.016414594,-0.011633014,-0.015513943,-0.000872611,0.022364546,-0.013690417,0.029866409,-0.022822423,0.014711658,-0.019403136,0.02279456,-0.032146272,0.001271583
AIM2,-0.012374052,-0.014246411,0.016697744,0.022754056,-0.006176045,-0.009467959,-0.026573956,-0.005030959,-0.004413149,0.001838885,0.019542365,-0.031658271,-0.016356509,0.044641443,-0.005034005,-0.013711718
AK3,0.009243621,-0.01223314,-0.030194443,0.034110435,0.004394536,0.026604728,0.006049098,-0.011848432,-0.000955346,-0.016286948,-0.017212446,-0.011524601,0.001337353,0.02265857,-0.011227383,0.014627864
AK5,0.000304013,-0.007536039,0.022628644,-0.001759682,-0.013918131,0.015222145,0.009566952,0.027162794,0.00481132,0.003519429,-0.008626528,0.053529254,0.015746701,0.017892745,-0.000879567,0.015255266
AK7,-0.003197732,-0.009597746,-0.012910695,-0.022612139,-0.013169532,0.027133479,-0.003340531,-0.026153168,-0.024048763,-0.018307373,0.024842605,-0.005609273,0.013570558,-0.009570369,-0.017310648,0.002864502
AKAP1,0.019973933,-0.011950003,-0.026405394,0.022261593,-0.013999131,-0.019059226,-0.018492052,0.00643853,-0.028456591,-0.014473829,-2.13E-06,-0.003528617,-0.021172813,0.018010291,-0.011432596,0.006479206
AKR1A1,0.0343268,0.017888409,-0.001007072,-0.011505689,0.010800108,0.019237095,-0.013077345,-0.01641274,-0.002507545,0.00044966,-0.006952652,-0.000396222,-0.013078891,0.010329773,0.002543902,0.000430139
AKR1B10,-0.006564832,-0.015109933,-0.000953424,0.020363719,-0.022205075,-0.011242357,0.014828222,-0.006724099,-0.007901187,-0.014841164,-0.021363614,-0.014289978,-0.041562853,0.016876648,-0.026600861,-0.030427937
AKR1C3,-0.018531241,-0.003547297,-0.011378472,-0.035322368,0.006604706,0.005352519,-0.022736773,-0.009106035,-0.001275023,0.004675194,0.001468455,0.03141263,-0.04781388,-0.003330173,-0.014880603,-0.02232558
AKR7A2,0.007249082,0.008809461,-0.01427445,0.01272101,0.005509125,0.059581597,-0.006599465,-0.013813042,-0.016848652,-0.013609109,-0.02200061,-0.003010798,-1.80E-05,0.003312558,0.028364708,0.016603787
AKT1,-0.016461708,-0.012922845,0.033448026,-0.019193874,0.019044142,-0.038486653,-0.007243233,0.004561172,-0.001485582,-0.006667601,0.006719154,-0.002154229,-0.001876579,-0.00336966,-0.003471448,-0.013138205
ALCAM,-0.01525634,-0.020625281,-0.021464414,-0.021823902,0.007657072,0.02365506,0.008779509,0.007392712,0.007098107,-0.004286633,0.010951099,-0.026880984,0.019500936,-0.014925493,-0.019012945,0.028894064
ALDH16A1,0.001401699,-0.027487236,-0.011496809,0.000647008,0.015100453,0.024907928,-0.019329995,0.026526329,-0.01323719,0.005295999,-0.012732037,-0.036897404,-0.031330774,0.017363226,0.018919302,-0.015553892
ALDH18A1,0.03745974,0.005377035,-0.010068413,0.011129896,-0.010506823,0.005920098,0.004732942,-0.000813565,-0.000437132,-0.006162906,0.014847786,0.002359976,0.013162869,-0.007098332,-0.002241532,0.004775391
