Row,cCD_PC1,cCD_PC2,cCD_PC3,cCD_PC4,cCD_PC5,cCD_PC6,cCD_PC7,cCD_PC8,cCD_PC9,cCD_PC10,cCD_PC11,cCD_PC12,cCD_PC13,cCD_PC14,cCD_PC15,cCD_PC16
ADAM15,-0.025584362,-0.016420769,0.00594056,-0.028870462,-0.001373878,-0.003374787,-0.016649073,-0.017008246,0.000235453,-0.012692471,0.02777601,-0.015166545,0.005423095,0.009111483,-0.016502987,-0.009448897
ADAM23,-0.004701272,0.0217109,0.01749168,-0.030272387,0.006178161,-0.00297034,0.02538445,0.007985811,0.008686117,-0.010055939,-0.001681312,-0.014938036,-0.022792909,0.011487636,0.015577728,-0.043766893
ADAM9,-0.021017769,-0.02397542,0.012649992,-0.02584504,0.020359639,-0.013029454,-0.007504664,0.001576393,0.018548005,0.005866796,0.010529888,0.03507415,0.004181916,0.004668315,-0.005988317,0.003134885
ADAMDEC1,0.029527524,0.002921206,-0.024819421,0.006247527,-0.002137102,-0.008841103,-0.003133894,0.011429197,-0.004145823,0.003753607,-0.000320868,-0.019186144,0.041725381,0.003472309,-0.026841273,-0.011872458
ADAMTS13,0.006821353,-0.014435191,-0.015987092,-0.037037957,-0.001015166,0.00028225,-0.006630758,-0.005975127,0.018563231,-0.008989367,0.016050905,0.009926955,-0.02594006,-0.005273703,-0.035954665,-0.000308528
ADAMTS15,-0.01345556,-0.019876847,0.028598708,-0.005342413,0.000419896,-0.006868877,-0.001819128,-0.008160728,-0.025170692,-0.021563196,0.002389027,-0.021463224,0.009359722,-0.023429191,-0.006219437,-0.023024115
ADAMTS9,-0.030055,-0.015085827,-0.027446844,-0.000386386,-0.002207415,0.011501138,-0.003377516,0.004051442,0.030065141,-0.007233866,-0.005138818,0.002687944,0.001118948,0.006623615,0.003701239,0.007259592
ADAMTSL4,0.003110518,0.013062891,0.010217474,-0.010657543,0.004330556,0.023931763,-0.026191354,0.028283982,0.023914474,-0.001710141,0.032125113,-0.027719861,0.015444145,-0.007433201,-0.021561643,0.009753394
ADAMTSL5,0.010454218,0.015801041,-0.012310585,-0.003892078,-0.005460326,-0.011772452,0.029294288,0.011851195,-0.031672489,0.017594622,0.019253139,-0.001274143,0.025077817,0.035951424,0.029784768,0.005603599
ADAP1,0.009447382,0.01695792,-0.017355583,-0.019628642,-0.012103588,0.010017152,0.009056945,0.025046412,-0.008510683,0.011629598,0.003970803,-0.049642828,-0.00175399,-0.024655832,0.023911032,-0.011736373
ADAP2,-0.001299568,0.016563811,0.008726741,-0.02780271,-0.00406483,0.014708627,0.013014114,0.015381719,-0.013108828,0.008631422,-0.022282448,0.015041072,0.035833087,-0.041386733,0.033471702,0.000901375
ADARB1,-0.00814602,0.024909164,-0.011079554,-0.014695919,0.017002183,0.011808226,0.013099537,-0.021893774,-0.004220841,-0.024869055,0.001706406,0.033398306,0.000679703,0.017669545,0.003861182,-0.012757984
ADCK5,0.011162306,-0.004019897,-0.029892864,-0.006872738,0.024751504,0.003957486,-0.014066775,0.008514813,-0.00365366,0.028943481,0.01469942,0.023240746,0.006433205,0.038496681,-0.015338643,-0.021564761
ADCY2,0.004189565,0.040367334,-0.000295411,-0.019644782,-0.010054803,-0.010439963,-4.81E-05,-0.003775943,-0.004429911,-0.008062418,-0.007287894,0.012084589,0.020062263,0.002340632,-0.014762677,-0.005772889
ADCY8,0.000231635,-0.026463857,-0.000666442,-0.016014619,0.022582712,0.009184756,-0.018272903,0.015062905,-0.035476368,-0.033383656,-0.010261721,0.023998909,0.009442351,0.008363093,0.014831756,0.003341404
ADGRA3,0.031125842,0.004843019,-0.003856323,0.028355802,-0.014604451,-0.009796504,0.013580344,-0.001251036,0.018952302,0.00268142,0.004877382,-0.01638319,-0.009494611,-0.002057088,-0.030230232,-0.004551615
ADGRD1,0.032046722,0.001802881,0.007064991,0.029921542,-0.00425485,-0.002470151,0.003863827,-0.000414072,-0.000953934,0.019491931,0.008241548,-0.015473593,-0.001991169,-0.009316894,0.017612678,0.019579167
ADGRF1,-0.017468391,0.003252865,-0.01153704,-0.019371137,0.012396923,-0.035785121,-0.040642028,0.029250491,0.009316051,0.017889596,0.017986344,0.011774751,0.007185524,-0.013695277,-0.001199434,0.002978408
ADGRG1,-0.009904567,0.022940339,0.017262957,0.018165735,0.035719458,-0.002323781,0.022941777,0.013839705,-0.000307117,0.000461186,0.008793631,0.000634008,-0.009070036,-0.000501999,0.005521735,-0.008070676
