NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_3,NI_V_4,NI_V_5,NI_MKI_1,NI_MKI_2,NI_MKI_3,NI_MKI_4,NI_MKI_5
ENSMUSG00000068115,NA,83.59853079,21.60685407,19.6219456,21.37205699,19.49956404,32.24078581,11.57874128,39.00613051,33.16470044,13.30799182
ENSMUSG00000068117,NA,0.803902562,1.118138946,1.085580083,8.103636551,0,0,0.996588982,1.86949436,0.993078899,2.864021197
ENSMUSG00000068129,NA,37.08958235,13.24143582,41.57576671,76.63066251,34.08923974,21.88507929,61.53543363,19.86625536,63.79348974,22.32704069
ENSMUSG00000068130,NA,40.6547439,34.3945847,39.39507316,50.5852671,52.18582156,61.68474027,31.56327131,46.5155305,26.50896131,60.92444667
ENSMUSG00000068134,NA,211.0542764,207.3875878,198.2141576,299.927242,238.2620746,272.0082451,252.3657432,219.3310234,244.468157,276.6821111
ENSMUSG00000068154,NA,36.64489362,42.33489407,32.61873227,11.25673344,35.01337957,41.02805025,26.46767739,34.15120381,26.03963568,45.43563448
ENSMUSG00000068165,NA,176.2639098,75.79179619,162.6807311,299.4873992,200.5719816,173.6971917,195.8079656,119.2258797,132.2050292,127.1542787
ENSMUSG00000068184,NA,72.17645573,107.8066928,95.16585845,177.8546687,91.59305212,99.28820894,146.3238498,89.53033685,127.746026,75.98194079
ENSMUSG00000068196,NA,15.29185928,47.61971899,10.39725164,8.723654542,9.34879948,18.62165339,13.23989351,11.08588639,18.4960085,14.91302962
ENSMUSG00000068205,NA,56.17138429,64.05178566,60.87078114,67.94252799,68.75678749,61.05105523,50.29837166,63.55999702,61.98034258,63.93381186
ENSMUSG00000068206,NA,203.5428058,196.6231476,283.2622371,335.759846,286.6009059,221.8905499,384.1707878,256.5143809,329.3274091,279.8506504
ENSMUSG00000068220,NA,161.4471025,712.4017625,267.286772,305.2488232,185.7784133,172.9078775,201.3644069,102.0231,263.3523843,92.85244196
ENSMUSG00000068226,NA,0,0,1.046543016,1.108434022,2.264768168,0,0,0,0,0
ENSMUSG00000068227,NA,165.6991977,45.49161889,124.043259,126.5310886,66.0583957,81.71501212,136.6942962,62.1157688,110.9404605,39.42653118
ENSMUSG00000068240,NA,1206.605866,1174.690442,911.5259076,1804.762062,1328.279145,1210.5384,1709.401317,1173.218344,1869.982566,1193.660159
ENSMUSG00000068245,NA,36.40182379,37.77163087,16.21063498,84.43123084,15.72272863,30.8257102,48.42626606,18.83737915,43.40584808,22.97817247
ENSMUSG00000068246,NA,105.9874648,38.68416113,48.65242012,74.63816721,73.72264327,31.73327757,0,49.61923582,0,0
ENSMUSG00000068250,NA,122.3604735,99.50051656,104.7224658,258.420479,112.1773453,72.12470563,144.5396471,194.7522501,114.4972372,149.6270287
ENSMUSG00000068252,NA,14.72997486,4.139221464,25.04607887,44.01665684,21.39556882,10.19157955,16.30033031,16.2304093,29.17956206,14.53088311
