NAME,DESCRIPTION,I_V_1,I_V_2,I_V_3,I_V_4,I_V_5,I_V_6,I_MKI_1,I_MKI_2,I_MKI_3,I_MKI_4,I_MKI_5,I_MKI_6
ENSMUSG00000082762,NA,0,9.934718101,0,9.848019826,1.103179518,1.526398684,1.385675473,5.42897403,0,0,0,8.041358651
ENSMUSG00000082765,NA,0,18.79655956,12.49933707,21.38185833,22.38505812,10.32381278,14.65672541,2.261259167,19.92965804,0,10.48932077,15.13322535
ENSMUSG00000082766,NA,0,0.639347743,1.04157675,0.679378865,0,2.26821635,1.344912945,1.682470081,1.796128849,0,0,1.337003025
ENSMUSG00000082768,NA,0,1.932635599,1.049501011,3.395481263,2.339639233,2.285472819,0,2.449361975,0,0,0,0
ENSMUSG00000082769,NA,0,13.4263026,10.4157675,13.5875773,9.287895121,30.24288466,28.24317185,55.52151268,14.36903079,0,15.26452589,40.11009074
ENSMUSG00000082774,NA,0,0,0,0.679378865,1.16098689,2.26821635,0,0.841235041,0,0,1.696058432,1.337003025
ENSMUSG00000082776,NA,0,0.628470536,1.05016776,0.664187405,0.560476744,0,4.114150149,1.763715659,0,0,0,0
ENSMUSG00000082778,NA,11.66346807,1.245441695,2.091506098,7.890620271,6.069389162,11.34695891,0.685200759,0.911381733,0,3.790023883,3.422602433,7.253505858
ENSMUSG00000082791,NA,0,0.641728331,2.047653827,0,0,0.774519822,0,0,1.794362605,0,0,0.662080834
ENSMUSG00000082792,NA,2.320875481,2.541193134,1.033976091,3.354722305,3.379018118,4.547587525,0.681128382,3.457480652,0,3.816961553,0,6.691284412
ENSMUSG00000082793,NA,0,0.639686166,0,1.374794062,0.594391832,1.509779623,0,0,0,0,0,0.645923517
ENSMUSG00000082806,NA,0,2.531342743,4.208114794,2.643052104,2.20219665,4.500223666,7.153601974,17.56010795,0,0,1.687055256,6.616544268
ENSMUSG00000082809,NA,4.675279819,12.70868925,0,0,16.23436988,11.85461132,6.916444544,28.10540519,0,5.71794019,10.19405623,11.03616209
ENSMUSG00000082810,NA,0,0,1.044217391,0,0,1.515977872,0.669059727,0,0,0,0,0
ENSMUSG00000082815,NA,2.324755149,0.636131188,0,0.671110909,0.573636592,0,0,0.854548622,1.811993736,0,0,0
ENSMUSG00000082816,NA,4.669805998,2.516208516,4.137296654,7.987395932,6.694387736,5.266644544,1.368560708,7.251671792,0,0,0,3.300032248
ENSMUSG00000082828,NA,0,0.639347743,1.04157675,1.35875773,2.32197378,1.512144233,0,0.841235041,0,0,0,2.674006049
ENSMUSG00000082831,NA,0,2.045586363,2.07093191,0.72884701,3.164579343,0.739812751,1.234009631,1.468978987,0,1.889078582,1.744826298,0
ENSMUSG00000082838,NA,69.41741639,58.81999235,112.490289,86.96049475,71.98118719,92.99687034,78.00495081,45.42669219,111.3599886,77.45927942,93.28321376,98.93822381
ENSMUSG00000082851,NA,0,1.293220268,0.993852682,1.407952594,2.368823232,2.267036506,0,0,0,0,0,1.311296491
ENSMUSG00000082855,NA,0,0.646463033,2.091858943,0,0,2.357055694,1.285295984,1.628290293,0,0,1.737978099,0
ENSMUSG00000082861,NA,2.307417189,3.861570677,4.239295115,0,1.754564012,3.024575903,1.296597198,1.661345903,0,0,1.718484353,0.673418696
ENSMUSG00000082867,NA,0,0,0,0,0.580493445,0.756072117,1.344912945,0,0,0,1.696058432,0.668501512
ENSMUSG00000082870,NA,2.31391388,1.278695486,1.04157675,2.717515461,1.16098689,5.292504816,0,0.841235041,0,0,0,6.01651361
ENSMUSG00000082876,NA,0,0,0,0.684046678,0.592996898,0,0,0,0,0,1.69192245,0.651529289
ENSMUSG00000082877,NA,0,0.639347743,0,1.35875773,1.16098689,0,0.672456473,0,0,0,0,0
ENSMUSG00000082878,NA,0,0,3.058151555,2.173980446,1.871012605,0.76843568,1.268961473,0.767560039,0,9.375818599,3.452056066,2.023235776
ENSMUSG00000082879,NA,0,0,0,0,0.610470569,0,0.664701,0.809259469,0,0,0,0
ENSMUSG00000082884,NA,0,0.639347743,1.04157675,0,0.580493445,0,0,0,0,0,0,0
ENSMUSG00000082893,NA,0,0,0,0,0.582287503,0,0,0,0,1.909656595,0,0.659320476
