NAME	DESCRIPTION	I_V_1	I_V_2	I_V_3	I_V_4	I_V_5	I_MKI_1	I_MKI_2	I_MKI_3	I_MKI_4	I_MKI_5	I_MKI_6
ENSMUSG00000071489	NA	1.919402322	0	6.215576692	5.327501024	7.441947934	3.27857981	2.432399399	7.228583553	6.710725382	2.945371122	4.366714033
ENSMUSG00000071497	NA	294.1126882	216.6540633	301.269548	337.2771245	246.0971557	294.452173	227.5408479	246.8155613	173.2043393	217.4133699	248.2998856
ENSMUSG00000071506	NA	88.27954384	196.5084719	196.3366528	186.980044	112.5326942	79.7892396	98.33661696	84.54945821	92.29956126	80.65125849	89.76055465
ENSMUSG00000071528	NA	502.702107	1268.795898	1516.432219	1846.765243	674.0937069	553.2011631	613.4383803	680.8672061	476.7435744	631.2217635	713.9528393
ENSMUSG00000071533	NA	750.2938767	725.4407038	1010.027242	859.1246407	744.1396173	880.1302867	661.1288665	663.5789336	483.5063178	703.1244064	795.1470677
ENSMUSG00000071540	NA	4.005001704	1.999167123	1.028083681	3.333073659	4.842118346	4.245942281	2.358495185	0	2.202397843	7.234630254	2.843564994
ENSMUSG00000071547	NA	29.22877181	12.43869379	19.12674495	19.67611469	30.12855391	0	24.28313954	24.89890761	7.55403661	23.93323451	22.34177208
ENSMUSG00000071551	NA	187.7863427	197.7166437	213.0874275	115.7750869	179.1401139	97.44249269	113.5698984	238.1476731	171.803391	122.2775338	168.0772116
ENSMUSG00000071552	NA	43.44994379	22.06150137	23.88415104	13.13489565	25.68470022	41.29562901	42.37078122	24.9677141	43.41214282	38.78082678	24.10457246
ENSMUSG00000071553	NA	3.855158816	4.411824939	2.656729133	9.843931036	1.899295548	3.532713176	2.934276505	4.254957869	5.694775649	0	7.399328167
ENSMUSG00000071567	NA	36.62671222	27.13060217	10.25047821	21.31618687	57.46406748	22.08818547	22.92226259	59.32237442	44.05628667	35.27300284	48.27834795
ENSMUSG00000071573	NA	10.72987311	17.16861108	18.97014824	9.445505686	12.76402916	12.99338476	12.63933907	12.04096484	12.10268146	9.899280566	8.487495682
ENSMUSG00000071604	NA	282.0634056	381.7335896	221.3621018	191.3046339	217.9526712	315.5674508	276.4945148	259.1029716	237.5977104	208.3481221	227.292402
ENSMUSG00000071632	NA	100.6770407	156.6658969	180.942503	195.3024226	105.6816274	128.527797	79.50061232	110.9006513	62.19510631	61.63691284	100.1200254
ENSMUSG00000071633	NA	0.746909521	1.688338606	4.315129376	1.232839505	2.598773167	0	3.474089764	3.078264356	1.343027169	0	0
ENSMUSG00000071636	NA	2.698774685	1.031161501	1.056525971	1.131073549	2.420706771	0.855055817	1.560406537	6.252599743	4.322803071	1.414241845	1.402923429
ENSMUSG00000071637	NA	210.5293044	240.4751653	196.7506773	279.1124178	225.1607085	208.1629476	251.0642555	206.4289685	153.3743121	177.4282181	158.5219378
ENSMUSG00000071644	NA	4821.615306	5136.968351	6612.182385	6129.491288	5001.740863	4925.449185	5441.972879	5343.55912	4414.238971	4873.52114	5027.556479
ENSMUSG00000071645	NA	157.6421535	148.4966997	106.4571602	139.1773414	140.7269235	135.4067927	159.428397	167.8542267	151.8625264	134.614272	138.1061393
ENSMUSG00000071646	NA	1240.293677	1039.180861	1088.68468	983.7295848	1082.743539	1202.528262	1120.28939	1099.10488	1122.908932	1202.69852	1064.163894
ENSMUSG00000071647	NA	78.29088898	87.24541224	102.6347295	34.67190666	128.8757177	93.10107192	65.29866167	74.75673699	75.87158687	93.99688925	154.8506795
ENSMUSG00000071648	NA	39.96286369	56.20471132	67.05428183	46.72309483	25.10689408	41.17798869	39.05562123	50.31457845	32.00560072	53.01311169	28.05123911
ENSMUSG00000071649	NA	217.6332632	333.0156351	325.3704898	369.8881871	215.6826732	229.1641676	192.972313	189.442088	182.544857	187.9082995	195.8188095
ENSMUSG00000071650	NA	2039.729988	1303.201955	1613.923623	1741.195674	1955.069376	1740.311797	2163.669841	2101.709954	2038.801066	2138.158379	1841.638057
ENSMUSG00000071652	NA	406.5306381	212.6353501	422.8074128	386.1925542	260.803518	376.4084879	360.1393548	287.0559781	282.7383484	331.855766	303.5223302
ENSMUSG00000071653	NA	81.8919548	125.251303	98.20947431	117.1530001	69.46201803	43.1294447	45.06958262	70.63910486	48.88029095	46.05199552	60.64954716
ENSMUSG00000071654	NA	125.2713568	197.8319546	207.7664808	235.8668831	140.7373166	153.6157873	120.1163078	126.0880804	116.2911405	122.9866984	113.2659319
ENSMUSG00000071655	NA	887.911509	1335.50245	1349.890015	1406.834491	834.3830099	925.3479258	894.4007922	821.6659959	735.0366127	837.1715083	835.0117221
ENSMUSG00000071656	NA	11.61368277	14.82102431	11.56747744	13.96235471	17.40815218	12.36689571	8.842608468	16.47667946	18.93752365	11.69191382	15.89474076
ENSMUSG00000071657	NA	282.8665197	280.4146788	327.7949368	293.4768216	336.0592481	284.5666356	294.1090322	331.232695	268.0240001	287.5392417	324.7911582
ENSMUSG00000071658	NA	6.606977348	12.32223575	10.46488935	11.1032276	7.289795565	5.099366066	10.21998973	9.196213598	9.871112489	7.11310475	7.078812377
ENSMUSG00000071659	NA	3092.376284	1849.187277	1626.427055	2289.824547	2837.189439	3015.067823	2501.368664	2577.3773	2668.482458	2772.609244	2402.465294
ENSMUSG00000071660	NA	430.4010834	353.0093034	370.764752	311.9153601	479.4085804	483.9617136	482.0980545	499.0146744	450.9699253	477.1739604	446.9532341
ENSMUSG00000071661	NA	12.64325588	18.50595662	12.73926251	16.60260853	13.33897832	12.73306143	16.53512611	19.00791455	11.87820552	15.76247187	14.08923326
ENSMUSG00000071662	NA	249.8381864	380.0768278	437.8993456	450.8944077	249.1231763	250.619146	296.024388	295.0351942	188.0476091	280.8742858	307.4541354
ENSMUSG00000071669	NA	30.67594507	30.68389259	32.59428947	35.81581874	35.56171803	31.79566403	33.87834557	55.11833512	67.05056344	81.78403366	65.47770507
ENSMUSG00000071708	NA	149.4821665	225.0987916	278.3332988	276.5546786	465.5406015	152.0494919	328.9570419	186.1530655	350.0165599	178.1178877	160.6055951
ENSMUSG00000071711	NA	370.0821966	362.6707916	395.4281631	383.5051486	359.2327906	300.8360663	315.0608115	289.8084592	296.7566805	204.5822943	170.351564
