NAME	DESCRIPTION	NI_V_1	NI_V_2	NI_V_3	NI_V_4	NI_V_5	I_V_1	I_V_2	I_V_3	I_V_4	I_V_5
ENSMUSG00000023348	NA	59.60946889	81.70305367	44.10519292	48.65877788	46.49318914	64.51915771	74.57763657	57.41936912	84.57196692	58.37735898
ENSMUSG00000023349	NA	75.45862082	41.16110238	40.85332764	179.4536985	58.54782336	449.1113248	709.8423865	585.7816321	405.67399	198.0086907
ENSMUSG00000023353	NA	54.42723754	34.18685303	71.9691567	28.91884515	20.90690888	51.19429734	40.80206889	17.34172742	30.05586132	40.92623471
ENSMUSG00000023367	NA	389.2158867	369.5523157	277.6668044	555.2962083	324.5792175	969.8066814	1305.146831	937.3569529	974.496155	756.3488998
ENSMUSG00000023387	NA	0	0	0	1.052352791	1.054853398	0	0	0	0	0
ENSMUSG00000023391	NA	2.850301953	4.460429612	1.964983643	0	1.04286862	0	0	0	2.31011306	1.26017465
ENSMUSG00000023393	NA	30.74719122	25.05480854	56.25186528	60.81628776	30.71858946	102.4428892	74.18027063	92.28372953	92.32665103	83.02070297
ENSMUSG00000023411	NA	55.26377055	64.10198788	29.49003463	12.00942789	14.18998567	40.83473621	15.54483746	19.92278466	30.89990856	36.81251458
ENSMUSG00000023433	NA	0	0	0	0	0	0.693058046	0	0	0	0
ENSMUSG00000023439	NA	2.168093819	5.510596255	0	0	2.127901971	0	2.137403121	0	0	2.52071713
ENSMUSG00000023452	NA	733.597784	924.1654881	957.7157582	1155.574764	1607.367974	847.7802227	728.2781624	1070.795114	974.7770596	751.1550584
ENSMUSG00000023456	NA	4150.1184	5801.209142	7115.161649	9452.900345	8398.200543	4710.204196	6286.636772	8596.572668	6918.193231	5980.076163
ENSMUSG00000023460	NA	187.3543798	258.6677401	139.9399894	144.5234891	169.2195953	196.0727177	238.6294204	214.0200879	158.6608498	208.0598257
ENSMUSG00000023467	NA	0	1.079151693	0	0	0	0	0	0	0	0
ENSMUSG00000023473	NA	10.29970729	7.278970578	7.782892972	6.071759845	4.575735494	8.079936529	14.01113297	4.781490266	15.5128355	14.07504805
ENSMUSG00000023484	NA	97.45380112	218.5242101	51.0469636	40.72697301	45.98971504	40.12157155	51.530596	38.65166666	59.62241644	62.52365209
ENSMUSG00000023495	NA	62.68687153	64.62426712	35.8565226	31.71225528	6.711226583	63.43758175	84.86374795	89.01611294	42.80651451	24.80630499
ENSMUSG00000023505	NA	412.3474253	326.6225569	356.90889	436.0687664	418.9176073	289.6526771	265.711476	432.4485439	348.3091325	300.3196222
ENSMUSG00000023571	NA	380.9126786	423.002072	363.4367199	799.8049408	695.3811223	147.3255552	201.8652045	277.2112112	404.7198343	174.4091578
ENSMUSG00000023572	NA	342.1479488	407.2756269	474.3943105	796.3366163	568.0328407	379.3631524	678.4593018	556.0297748	731.6549325	335.504849
ENSMUSG00000023707	NA	70.61915276	123.8605561	132.908832	124.927096	91.22698151	78.31892421	143.2195846	98.99553537	109.1882643	96.71956031
ENSMUSG00000023723	NA	352.2169753	407.2704863	455.1677022	874.1354378	533.1011061	356.3616716	594.4962613	663.5599362	716.2649877	422.0986841
ENSMUSG00000023755	NA	16.71944181	25.002779	41.80305192	16.84745836	34.24668375	12.52730657	14.27271402	11.69472244	8.988532212	12.0583699
ENSMUSG00000023764	NA	78.76057018	97.57639819	105.3048578	152.0819565	105.5223624	182.153374	95.22110106	173.9609924	140.782871	64.26091013
ENSMUSG00000023781	NA	2.115569106	1.122101328	0.990438816	7.244389193	4.222398781	0.69878188	1.087132944	4.324652136	1.14845383	1.238232786
ENSMUSG00000023791	NA	104.5434849	116.6780464	143.4337805	267.9748643	168.702917	98.81184622	145.4422508	224.1666176	222.7674958	98.95085313
ENSMUSG00000023795	NA	29.92376713	28.08668623	19.88552721	14.64183097	21.86390156	23.0827706	19.34126486	21.90189142	27.12400375	14.02425238
ENSMUSG00000023800	NA	257.0802002	298.0116761	290.3037224	96.29209703	371.1663204	114.6101105	53.56568021	100.7130603	90.03290952	117.149673
ENSMUSG00000023805	NA	144.0918918	159.6929321	141.6359021	53.96661895	89.1134403	340.94613	223.6910161	168.7247633	159.090454	298.878147
ENSMUSG00000023806	NA	117.3145974	151.4886037	103.9837459	152.4733373	154.6400862	141.5535226	138.9853036	135.7530022	136.4270741	156.7776431
ENSMUSG00000023809	NA	55.8854102	43.05740531	31.90322038	20.8070168	24.16943634	52.47353831	49.92761438	25.13451819	42.36574301	41.54032184
ENSMUSG00000023826	NA	3.534556189	12.77621456	3.865813385	15.56565677	3.456553411	4.780312429	17.19669577	15.51116843	24.15480088	5.37810413
ENSMUSG00000023827	NA	202.0630605	242.5833204	233.5398442	224.7088355	156.8136169	294.271025	282.0538812	293.536552	280.7054411	227.9328885
ENSMUSG00000023828	NA	66.67159049	66.68048323	25.2115715	31.14125954	43.72496405	11.09770664	4.337774141	8.748451946	11.42695485	18.18984485
ENSMUSG00000023829	NA	199.0858566	195.1855479	213.8131416	348.1729339	309.3029557	132.00692	67.64969155	164.8739665	186.8095175	150.002332
ENSMUSG00000023830	NA	641.3668553	824.1781604	783.3885229	302.309245	668.123556	2085.719401	366.4607071	298.8187284	512.8927318	1742.273768
ENSMUSG00000023832	NA	70.09132923	112.7780656	82.02916133	103.0902067	154.7339525	163.1527715	243.2271254	193.6124672	74.71912232	107.2477476
ENSMUSG00000023845	NA	1021.465533	870.7634763	811.397411	411.9758467	723.9530548	961.165002	606.3359184	468.711278	587.7681806	1101.186377
ENSMUSG00000023852	NA	732.8873109	503.0765142	1036.134271	280.1560463	872.4865337	955.1105878	585.7117737	456.2445071	307.8074533	629.3038676
ENSMUSG00000023861	NA	794.1829364	1059.964141	843.549862	1487.402599	971.6647929	545.4100355	987.5682038	906.8873662	938.879674	583.8995285
ENSMUSG00000023868	NA	13.93999896	22.77987773	17.82440567	4.55560657	14.74753059	33.67629002	73.44058339	25.27897372	12.61133598	28.19381823
ENSMUSG00000023873	NA	0	0	13.73892074	17.50402672	3.209979782	0	6.023420895	0	0	0
ENSMUSG00000023882	NA	75.87508276	66.35697297	65.76833423	136.783211	80.22249353	54.76564903	77.10539223	120.3498858	94.96880999	45.5839621
ENSMUSG00000023883	NA	351.1248918	410.3414224	363.6258633	462.5738588	294.4189213	270.5375875	523.3526411	367.1331613	447.5240347	289.8459045
ENSMUSG00000023885	NA	99.29356577	117.996923	41.46524492	23.60923869	31.9269965	78.63855464	44.05328956	37.34236099	36.55213741	96.16284933
ENSMUSG00000023886	NA	708.7630809	691.4356753	547.940661	684.7140287	650.5298191	768.541475	506.1408897	400.7537125	371.6101758	481.5508755
ENSMUSG00000023892	NA	107.3723065	84.53521683	71.87672571	159.145377	114.9750458	87.64142673	127.7294867	111.8919679	93.87197573	102.2653167
ENSMUSG00000023902	NA	0	0	0.967225708	0	0	0	0	0	0	0
ENSMUSG00000023903	NA	6.426466544	6.553172159	9.709800364	3.116433046	1.061020333	31.42366737	31.47952225	13.11654685	18.26827303	27.8632511
ENSMUSG00000023904	NA	332.0418388	423.8148681	291.5069584	423.9388893	365.7890737	261.4462412	409.0875857	391.9558507	401.4932284	280.4488183
ENSMUSG00000023905	NA	42.94661977	53.07960222	25.32424673	84.55775651	66.88357018	161.62124	618.4952497	349.8072096	284.2266451	109.7136111
ENSMUSG00000023908	NA	96.98991324	51.35578837	80.74698362	71.2551155	35.51586851	73.95505081	45.33532825	90.58734287	90.87143439	97.64968432
ENSMUSG00000023909	NA	1219.841324	1537.291017	993.5729553	1083.246291	1096.536816	886.9824866	1135.397163	1109.230236	1197.993576	984.7141944
ENSMUSG00000023911	NA	20.28144376	18.96574143	18.49154759	51.1770201	27.57102256	15.11655726	33.6888289	35.3774535	40.7978951	20.2283207
ENSMUSG00000023912	NA	9.281863888	3.239045498	8.682518013	3.097620202	5.311712327	4.890912456	6.448192889	2.176758097	10.32280464	9.154229015
ENSMUSG00000023913	NA	303.2636012	215.2258365	243.515176	286.2555941	187.7893134	2368.305343	1916.17414	1580.832772	1066.358613	1303.540021
ENSMUSG00000023914	NA	9069.390393	16307.20357	12140.80599	8118.482004	13250.20806	3042.203324	3926.242613	2814.442767	4746.947781	6067.819106
ENSMUSG00000023915	NA	256.8422911	357.2569411	366.2456433	182.691671	297.4185298	340.9074685	297.7456156	167.5057015	373.6159705	318.4057704
ENSMUSG00000023918	NA	0.698010131	1.034883049	0	0	0	0	4.15011014	2.313351718	4.407917247	1.406731954
ENSMUSG00000023919	NA	89.63928614	44.99448045	92.05516205	110.0838547	72.8859416	59.67346336	91.21482231	92.75139026	93.30455984	91.82783266
ENSMUSG00000023921	NA	441.3216314	503.9895539	486.1884444	488.1134669	529.7255423	436.4374503	347.4885105	405.5645689	331.1993243	526.15362
ENSMUSG00000023923	NA	182.9061287	183.9476519	181.9162368	63.96107483	110.6672345	243.9677923	126.3033277	97.00291046	126.7641456	214.69264
ENSMUSG00000023926	NA	0	0	0	0	0	0	0	0	1.147768917	0
ENSMUSG00000023927	NA	112.5309293	43.93388658	33.6404961	52.81049578	50.60370904	85.12814922	91.47232815	41.56995325	52.33780912	51.23540843
ENSMUSG00000023931	NA	13.58282603	9.634118129	15.46178445	8.242642537	11.79679465	9.16525537	9.556815658	22.75341253	14.82765232	6.613758903
ENSMUSG00000023932	NA	639.9867388	595.0759155	617.873753	685.6133343	705.438158	697.6853472	648.7385476	621.3392837	661.298365	686.7375367
ENSMUSG00000023935	NA	0.724262909	0	0	0	1.054800938	0	0	0	0	0
ENSMUSG00000023938	NA	108.7500514	103.408841	95.56421693	47.60744314	98.42684714	101.4991652	56.54971955	80.84024452	89.83802075	90.30550978
