NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_4,NI_V_6,NI_V_7,I_V_1,I_V_2,I_V_3,I_V_4,I_V_5,I_V_6
ENSMUSG00000067578,NA,2.107683999,4.407229918,5.480447588,5.550541151,3.335141221,5.560124811,1.564852912,0,2.538855862,2.100584767,0
ENSMUSG00000067586,NA,66.23629656,88.09218558,136.8420401,85.17231361,52.01545437,104.4814631,78.03434772,79.95115817,103.4241437,48.89402647,38.33275358
ENSMUSG00000067591,NA,1.142177616,0.699347357,0,0,1.717239632,0,2.741807843,4.174028218,7.08833152,5.804069386,13.14338504
ENSMUSG00000067594,NA,0,0.865268339,1.134841837,0,0,0,0,0,0,0,0.924052198
ENSMUSG00000067597,NA,0,0,0,0,0,0,5.382557762,0,0,0,10.17889305
ENSMUSG00000067599,NA,0,8.201684115,3.895992042,0,6.578113317,28.40895302,9.274116046,3.635904147,7.580488983,21.39767258,70.2820393
ENSMUSG00000067608,NA,0,3.464874501,0,5.540379046,0,0,0,3.727300422,5.053284812,8.639318666,5.439919238
ENSMUSG00000067610,NA,3.854824871,4.01568266,3.903698437,2.507551405,8.797440326,14.04836812,11.37254236,12.73535039,14.24756258,10.60813754,6.425912558
ENSMUSG00000067613,NA,30.37681924,8.783504177,9.384428382,8.354805661,6.638791149,29.74627,28.12067683,4.355487045,30.01117908,13.54634105,27.30090123
ENSMUSG00000067616,NA,0,0,0,0,17.51123357,0,17.97442192,0,0,0,9.448170295
ENSMUSG00000067629,NA,55.57959203,49.3846271,44.20613465,35.41771652,47.75151516,45.63426617,34.37807461,11.13469429,35.81233215,12.30133727,19.0300089
ENSMUSG00000067642,NA,1.287089726,2.150002896,0,7.383733645,2.373868112,3.300298844,15.23308182,0,3.284002872,20.77568279,3.135278464
ENSMUSG00000067653,NA,4.175016464,10.73856509,34.25364161,18.4880432,14.23338279,0,52.43139508,20.45909998,14.20348202,48.40757,41.51689751
ENSMUSG00000067656,NA,3.584783383,3.604660411,5.410155827,4.979949821,3.524417498,0,0,0,0,0.748463675,0
ENSMUSG00000067698,NA,2.003404274,0,0,1.613792401,0,0,0,0,0.858693061,0,0
ENSMUSG00000067702,NA,0,0.900289917,0,0.781935485,0,0,0,0,0.820015788,0,0
ENSMUSG00000067704,NA,0,0.937007015,1.106060817,0.762880165,0.829771366,0,0.774436611,0,0,0.685052918,0
ENSMUSG00000067713,NA,896.2010906,1059.36476,1400.057513,856.149355,808.7830241,937.1221714,885.8947822,1190.353792,849.3692786,894.1238433,1758.667791
ENSMUSG00000067714,NA,244.1758332,303.2278784,93.5602984,261.8186152,261.3596607,284.1400871,273.0819007,446.7890779,216.1628707,193.1703309,96.85358544
ENSMUSG00000067719,NA,2861.053699,2890.919472,5550.392137,2407.639277,2479.485152,2150.554245,2232.005639,2424.388608,2580.178711,3200.339703,5291.79238
ENSMUSG00000067722,NA,344.5340153,367.2095515,541.415844,332.7574623,258.7817784,279.7705942,277.7370304,220.7738279,297.750804,321.7997307,297.1488821
ENSMUSG00000067736,NA,328.0054167,227.0493832,176.2737603,162.5077625,0,127.5032161,60.05396338,81.06237629,50.72217253,39.41478412,0
ENSMUSG00000067750,NA,18.21762722,10.06095519,18.48132515,12.14330633,28.29039199,233.6799328,104.2748436,0,79.19889718,166.9356808,627.2906649
ENSMUSG00000067764,NA,0,0,0,0,0,0,8.010263809,0,2.587946043,0,4.794836272
ENSMUSG00000067767,NA,0,0,1.033738715,0,0,0,0,3.784462166,0,1.507560094,0.920705638
ENSMUSG00000067768,NA,12.43976737,7.782428787,61.99834677,2.699123451,9.141570556,28.04070018,16.11992287,18.20910493,60.12584243,20.77410102,44.00355488
ENSMUSG00000067780,NA,8.186351454,13.52912615,16.78390187,15.89926042,10.53220838,69.59990957,15.62657152,12.21606382,17.3047959,13.45880578,15.0612095
ENSMUSG00000067786,NA,13.81601844,18.98364539,73.37355457,92.21010562,15.92123342,5.691700592,12.76401049,28.83048346,12.16905674,10.90858739,17.4915524
ENSMUSG00000067787,NA,1032.414232,829.2003475,1159.307329,762.95278,614.9869012,578.151102,620.0707501,951.9857046,614.5681844,577.8811831,825.3391263
ENSMUSG00000067795,NA,12.29734288,5.173031471,24.1574139,8.067169816,5.103622727,2.853533062,3.177357627,4.995440693,0,5.053365606,0
ENSMUSG00000067813,NA,171.7394083,96.58365357,241.3455108,99.8909134,199.1218802,200.437879,128.3460569,947.5925985,125.9168513,191.4047946,187.9339064
ENSMUSG00000067818,NA,10438.97148,7944.195332,11115.16476,5925.687084,3852.652688,2938.958696,4512.280774,3621.531016,2540.148678,2302.919951,2571.193465
ENSMUSG00000067825,NA,383.8630235,390.5738746,344.7866759,398.6813509,521.597633,827.1848283,610.5778859,468.9604497,592.3744826,744.0351061,447.7094566
ENSMUSG00000067847,NA,753.1076371,738.1569151,1293.513454,565.4967407,535.5887649,668.2753,560.7121251,615.1476881,574.0071709,665.9394286,1533.612585
ENSMUSG00000067851,NA,4043.130908,3627.676324,2674.262307,3296.435862,4151.76193,3731.095214,3137.280379,3905.037908,3232.147945,3508.628298,1915.307969
ENSMUSG00000067870,NA,9300.540687,7909.766883,13319.82547,6057.752951,4884.336971,5151.12993,5947.652142,6322.865351,5653.443459,6426.017482,9782.330132
ENSMUSG00000067872,NA,3.184360173,0,2.264305303,0.777910693,6.597917049,2.834112207,5.401721957,3.788481591,1.663554321,0.695632662,2.766852469
ENSMUSG00000067873,NA,608.1263975,749.0161311,831.0656099,728.9088857,716.8451205,648.0691276,643.7186643,607.6776831,648.1301217,728.4254155,501.6751273
ENSMUSG00000067878,NA,2.664493831,2.232213685,8.18031011,2.247506778,5.418150427,5.14103342,5.77843221,4.529125338,2.381913208,4.057545581,2.543433234
ENSMUSG00000067879,NA,0,0,3.122130396,1.611307514,0,0,0.789507556,0,0,0.720478723,0
ENSMUSG00000067882,NA,0,0,0,0,0,0,0.374283848,0,0,1.447828469,0
ENSMUSG00000067889,NA,522.7167055,128.1912377,159.7641869,399.4155584,98.60093874,79.68989248,110.1111261,20.17267146,37.29132882,24.01486156,37.65084031
ENSMUSG00000067916,NA,22.88460467,144.1281064,64.71096055,43.46873273,48.70251371,277.7022409,264.3273215,162.5011164,250.5810272,188.3218644,677.8211647
ENSMUSG00000067919,NA,0,1.6151419,0,0,0,2.776996281,0,0,0.874187603,1.488736203,0
ENSMUSG00000067924,NA,150.9837144,114.8356603,243.8925177,113.2963263,77.83597293,165.1443199,124.5388424,93.64122689,130.4623241,98.28866617,165.5869481
ENSMUSG00000067925,NA,319.1488802,250.3828663,392.285309,207.7177519,122.535712,228.463694,157.0193014,129.0363971,180.7902059,172.031809,268.212318
ENSMUSG00000067928,NA,74.7155795,83.03294866,110.1244654,127.1705069,99.33193339,67.72897603,59.91914163,52.60627081,83.22625223,81.11136448,52.20261639
ENSMUSG00000067929,NA,27.51013172,16.72069101,22.31313422,18.9329432,7.463333232,8.500214406,16.16837476,11.22402133,16.6302205,13.37287318,14.78670592
ENSMUSG00000067931,NA,146.513112,230.3827538,250.8356449,273.3098562,273.320226,178.7521278,224.3140721,215.8865332,279.9619056,259.9599239,145.4244505
ENSMUSG00000067942,NA,236.2989675,235.2447022,316.8670771,276.6099517,313.923274,225.1484089,298.264277,250.3988294,284.78966,291.0497004,186.7926819
ENSMUSG00000067951,NA,1.024946876,0.846645074,0,0,0,2.802995176,2.428462712,3.637645575,3.553702707,2.207995257,2.63306191
ENSMUSG00000067995,NA,302.043428,378.9048944,480.4930394,315.5510574,401.2013189,513.0103155,475.1182092,568.5887137,545.4271306,590.5100456,856.7595213
ENSMUSG00000068011,NA,575.0084597,724.2054759,1359.380265,531.8199757,1044.385689,1137.983436,992.2277257,1503.628333,1345.524457,1703.273364,3286.822846
ENSMUSG00000068014,NA,0,0,0,3.999221705,19.817337,0,0,0,11.45331735,3.51101535,49.42630689
ENSMUSG00000068015,NA,378.8493198,380.4933326,341.7741013,328.6016349,270.6738266,242.8755513,300.7927546,274.0298362,255.1059505,243.2785744,153.893685
ENSMUSG00000068036,NA,2323.231242,3612.330451,1691.597459,2608.650063,2922.781676,2814.148657,2102.646805,2805.312308,2097.82672,2806.297784,720.0590304
ENSMUSG00000068039,NA,4604.505162,4756.901098,3487.422182,4121.276366,4860.003364,5924.558863,5215.172356,4079.686095,5316.998023,6226.562711,5182.214462
ENSMUSG00000068040,NA,4624.773167,4252.435304,2254.85603,3035.873341,3751.143325,4239.295543,2969.294661,1535.658046,3129.045664,3185.140292,1836.125636
ENSMUSG00000068078,NA,3.42661307,15.18916745,9.195407493,1.489098902,51.74432808,2.86516602,9.851702145,0,4.93495738,1.352715523,3.539260692
ENSMUSG00000068079,NA,3.289329057,4.677263931,6.618521316,3.859067132,0,5.117541966,3.602137859,5.12408619,6.227741326,0.624928028,2.003455388
ENSMUSG00000068083,NA,8.571407089,9.722299206,42.99222022,10.70061032,16.34954397,5.75461202,10.59504152,1.291362048,4.910690777,5.459497502,12.96530005
ENSMUSG00000068085,NA,0,4.493657618,5.887379628,0.765713906,0,0,0,0,0.81715139,1.369166158,0
ENSMUSG00000068086,NA,246.1257172,404.430727,847.399089,104.6817092,134.3121193,0,139.8267503,7.621954874,64.51776334,82.01728791,70.955935
ENSMUSG00000068099,NA,3.02761296,2.544827531,4.453674193,3.149927602,5.756167667,12.08398453,11.00293028,2.477844043,5.788868827,5.690021412,15.91857701
ENSMUSG00000068101,NA,30.29675624,95.10679445,83.05901211,41.1057747,115.168542,158.0286371,86.02034962,45.1519103,78.34544415,110.9801787,169.1865783
